URL,Texto,Título,Clases CSS,Rel,Encontrado en,Timestamp
https://colombina.com/co-es/product/brand/cafe-buendia,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583355
javascript:void(0),Productos,,for-after-sprite position-relative viewSearchcontent,,https://colombina.com/co-es,2025-10-13T11:37:34.586345
javascript:void(0),Páginas,,for-after-sprite position-relative viewSearchcontent,,https://colombina.com/co-es,2025-10-13T11:37:34.586373
https://colombina.com/co-es/product/brand/colombina-100,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584670
https://colombina.com/co-es/product/brand/capri,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584522
https://colombina.com/co-es/product/brand/crios-colombina-100,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583546
https://colombina.com/co-es/product/brand/maxilatto,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584887
https://colombina.com/co-es/product/brand/xtime,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584408
https://colombina.com/co-es/product/brand/moments,Moments,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582297
https://colombina.com/co-es/product/brand/snake,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584290
https://colombina.com/co-es/product/brand/choco-disk,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584560
https://colombina.com/index.html,,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585458
https://colombina.com/co-es,Categorías,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581577
https://colombina.com/co-es/product/brand/fun-mix,Fun Mix,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582118
https://colombina.com/co-es/product/brand/chocobreak,ChocoBreak,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580372
https://colombina.com/co-es/product/category/galleteria,Galletas,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.579951
https://colombina.com/co-es/sostenibilidad/resultados,- Resultados,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581416
https://colombina.com/co-es/product/brand/amazon,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583279
https://colombina.com/co-es/sostenibilidad/estrategia,Estrategia,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585665
https://colombina.com/co-es/inversionistas,Inversionistas,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582995
https://colombina.com/co-es/product/brand/crios-colombina-100,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584710
https://colombina.com/co-es/product/brand/robin-hood,Robin Hood,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581006
https://colombina.com/co-es/product/brand/colombina,Colombina,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580459
https://colombina.com/co-es/inversionistas,Inversionistas,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585883
https://colombina.com/co-es/product/category/snacks,Snacks,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580051
https://colombina.com/co-es/product/brand/chocobreak,ChocoBreak,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581960
https://colombina.com/co-es/product/brand/amazon,Amazon,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580113
https://colombina.com/co-es/product/brand/snow-mint,Snow Mint,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582510
https://colombina.com/co-es/quienes-somos/historia,Historia,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582684
https://colombina.com/co-es/product/brand/grissly,Grissly,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582137
https://colombina.com/co-es/product/brand/nucita,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584154
